protein	gene
P0ACC3	erpA
P0ACC7	glmU
P0ACD4	iscU
P0ACV0	lpxL
P0ACV4	LapA
P0AD57	ispB
P0AD65	mrdA
P0AD68	ftsI
P0AD74	pheM
P0AD92	trpL
P0ADC1	lptE
P0ADC3	lolC
P0ADC6	lptG
P0ADE8	ygfZ
P0ADG4	suhB
P0ADV1	lptA
P0ADY3	rplN
P0ADY7	rplP
P0ADZ0	rplW
P0ADZ4	rpsO
P0AE18	map
P0AED7	dapE
P0AEF0	dnaC
P0AEK2	fabG
P0AEK4	fabI
P0AEN4	ftsL
P0AES4	gyrA
P0AES6	gyrB
P0AF16	murJ
P0AF67	tsaE
P0AF98	lptF
P0AFF6	nusA
P0AFG0	nusG
P0AFG3	sucA
P0AFG6	sucB
P0AFI2	parC
P0AFI7	pdxH
P0AFU8	ribC
P0AG03	ubiX
P0AG07	rpe
P0AG30	rho
P0AG40	ribF
P0AG44	rplQ
P0AG48	rplU
P0AG51	rpmD
P0AG55	rplF
P0AG59	rpsN
P0AG63	rpsQ
P0AG67	rpsA
P0AG96	secE
P0AGA2	secY
P0AGB3	rpoH
P0AGB6	rpoE
P0AGD7	ffh
P0AGE0	ssb
P0AGG0	thiL
P0AGJ9	tyrS
P0AGK1	ubiA
P0C018	rplR
P0C079	relB
P10121	ftsY
P10408	secA
P10441	lpxB
P10443	dnaE
P11875	argS
P11880	murF
P14900	murD
P15042	ligA
P16659	proS
P16926	mreC
P17169	glmS
P17443	murG
P17952	murC
P17993	ubiG
P18843	nadE
P20083	parE
P21645	lpxD
P21888	cysS
P21889	aspS
P22188	murE
P22523	mukB
P22524	mukE
P22634	murI
P22939	ispA
P23830	pssA
P23871	hemH
P23873	hipB
P23882	fmt
P23886	cydC
P23893	hemL
P23930	lnt
P24182	accC
P24186	folD
P24224	acpS
P25534	ubiH
P25539	ribD
P25714	yidC
P25745	mnmA
P26647	plsC
P27300	lpxK
P27302	tktA
P27835	wzyE
P28248	dcd
P28630	holA
P28631	holB
P28632	holD
P29018	cydD
P29680	hemE
P30014	rnt
P31120	glmM
P31554	lptD
P31991	ydcD
P33643	rluD
P38394	ydaE
P39286	rsgA
P42641	obgE
P43341	lpxH
P45568	dxr
P45748	tsaC
P45800	yrfF
P52097	tilS
P56100	cydX
P58036	yjbS
P60293	mukF
P60422	rplB
P60438	rplC
P60472	ispU
P60546	gmk
P60624	rplX
P60716	lipA
P60723	rplD
P60752	msbA
P60906	hisS
P60955	lgt
P61175	rplV
P61316	lolA
P61320	lolB
P61517	can
P61714	ribE
P61949	fldA
P62399	rplE
P62615	ispE
P62617	ispF
P62620	ispG
P62623	ispH
P64474	ydhL
P67701	higA
P68398	tadA
P68679	rpsU
P68919	rplY
P69222	infA
P69441	adk
P69913	csrA
P69924	nrdB
P69931	hda
P75957	lolD
P75958	lolE
P75968	ymfE
P75974	cohE
P75987	iraM
P76062	racR
P76063	ydaS
P76118	yncH
P76136	safA
P76156	ydfO
P76256	tsaB
P76550	yffS
P77173	zipA
P77488	dxs
P77519	yddL
Q46786	ygeF
Q46787	ygeG
Q46793	ygeN
Q46893	ispD
A5A607	ylcI
A5A611	ymgI
A5A612	ymgJ
A5A613	yciY
A5A614	yciZ
A5A615	yncL
A5A616	yneM
A5A617	ydgU
A5A618	ynhF
A5A619	yojO
A5A621	ypfM
A5A624	dinQ
A5A625	yibV
A5A627	tisB
A5A628	yjbT
A5A630	ytcA
A8DYP9	uof
A8DYQ1	ythA
C1P5Z7	sgrT
C1P5Z8	ykgR
C1P601	rzoQ
C1P602	yoaK
C1P603	yoaJ
C1P605	azuC
C1P606	yoeI
C1P607	ibsA
C1P608	ibsB
C1P609	yohP
C1P610	ypdK
C1P611	shoB
C1P614	yqfG
C1P615	ibsC
C1P616	ibsD
C1P617	ibsE
C1P618	yrbN
C1P619	ilvX
C1P620	yshB
C1P621	yjeV
E2JKY7	mgtL
G3MTW7	pmrR
O32528	ypdI
O32583	thiS
O52982	yfjS
P00350	gnd
P00363	frdA
P00370	gdhA
P00393	ndh
P00448	sodA
P00490	malP
P00509	aspC
P00547	thrB
P00550	mtlA
P00561	thrA
P00562	metL
P00582	polA
P00634	phoA
P00722	lacZ
P00805	ansB
P00811	ampC
P00816	cynS
P00861	lysA
P00864	ppc
P00887	aroH
P00888	aroF
P00893	ilvI
P00894	ilvH
P00895	trpE
P00903	pabA
P00904	trpGD
P00909	trpC
P00914	phrB
P00926	dsdA
