protein	gene
P0ADV7	mlaC
P0ADV9	lptC
P0ADW3	yhcB
P0ADW6	yhcC
P0ADW8	yheV
P0ADX1	yhfA
P0ADX5	yhfG
P0ADX7	yhhA
P0ADX9	rsmD
P0ADY1	ppiD
P0ADZ7	yajC
P0AE01	trmJ
P0AE06	acrA
P0AE08	ahpC
P0AE12	amn
P0AE14	ampE
P0AE16	ampG
P0AE22	aphA
P0AE24	araE
P0AE26	araH
P0AE28	aroM
P0AE30	artM
P0AE34	artQ
P0AE37	astA
P0AE39	ypdB
P0AE42	yqaE
P0AE45	ytfL
P0AE48	ytfP
P0AE52	bcp
P0AE56	bfd
P0AE58	caiF
P0AE60	cedA
P0AE63	chaB
P0AE67	cheY
P0AE70	mazF
P0AE72	mazE
P0AE74	citT
P0AE76	cobU
P0AE78	corC
P0AE82	cpxA
P0AE85	cpxP
P0AE88	cpxR
P0AE91	creA
P0AE95	csgE
P0AE98	csgF
P0AEA2	csgG
P0AEA5	cyoE
P0AEA8	cysG
P0AEB0	cysW
P0AEB2	dacA
P0AEB5	ynaI
P0AEB7	yoaB
P0AEC0	yoaE
P0AEC3	arcB
P0AEC5	barA
P0AEC8	dcuS
P0AED0	uspA
P0AED5	uvrY
P0AED9	dcm
P0AEE1	dcrB
P0AEE3	degS
P0AEE5	mglB
P0AEE8	dam
P0AEF4	dpiA
P0AEF8	dppB
P0AEG1	dppC
P0AEG4	dsbA
P0AEG6	dsbC
P0AEG8	dsrB
P0AEH1	rseP
P0AEH3	elaA
P0AEH5	elaB
P0AEH8	yjiG
P0AEI1	miaB
P0AEI4	rimO
P0AEI6	nudJ
P0AEJ0	emrB
P0AEJ2	entC
P0AEJ4	envZ
P0AEJ6	eutB
P0AEJ8	eutN
P0AEK0	exoX
P0AEK7	fdnI
P0AEL0	fdoI
P0AEL3	feoA
P0AEL6	fepB
P0AEL8	fimZ
P0AEM0	fkpB
P0AEM4	flgM
P0AEM6	fliA
P0AEM9	fliY
P0AEN1	fre
P0AEN8	fucU
P0AEP1	galP
P0AEP3	galU
P0AEP7	gcl
P0AEP9	glcD
P0AEQ1	glcG
P0AEQ3	glnH
P0AEQ6	glnP
P0AER0	glpF
P0AER3	gltJ
P0AER5	gltK
P0AER8	gltS
P0AES0	gss
P0AES2	gudD
P0AES9	hdeA
P0AET2	hdeB
P0AET5	hdeD
P0AET8	hdhA
P0AEU0	hisJ
P0AEU3	hisM
P0AEU7	skp
P0AEV1	rssB
P0AEV4	hycA
P0AEV7	hycH
P0AEV9	hycI
P0AEW1	hyfE
P0AEW4	cpdA
P0AEW6	gsk
P0AEW9	fruK
P0AEX3	kgtP
P0AEX5	prkB
P0AEX7	livH
P0AEX9	malE
P0AEY1	marC
P0AEY3	mazG
P0AEY5	mdaB
P0AEY8	mdfA
P0AEZ1	metF
P0AEZ3	minD
P0AEZ7	mltD
P0AEZ9	moaB
P0AF01	modB
P0AF03	mog
P0AF06	motB
P0AF08	mrp
P0AF10	mtlR
P0AF12	mtnN
P0AF18	nagA
P0AF20	nagC
P0AF24	nagD
P0AF26	narJ
P0AF28	narL
P0AF32	narV
P0AF34	yiiR
P0AF36	zapB
P0AF40	yijD
P0AF43	yjbB
P0AF45	yjbE
P0AF48	yjbQ
P0AF50	yjbR
P0AF52	ghxP
P0AF54	yjcH
P0AF56	yjcO
P0AF59	yjdI
P0AF61	ghoS
P0AF63	nsrR
P0AF70	yjeI
P0AF73	yjeT
P0AF76	yjfI
P0AF78	yjfJ
P0AF80	yjfL
P0AF82	yjfN
P0AF86	yjfY
P0AF90	rraB
P0AF93	ridA
P0AF96	tabA
P0AFA2	narX
P0AFA5	nfrB
P0AFA7	nhaB
P0AFA9	nikC
P0AFB1	nlpI
P0AFB5	glnL
P0AFB8	glnG
P0AFC0	nudB
P0AFC3	nuoA
P0AFC7	nuoB
P0AFD1	nuoE
P0AFD4	nuoH
P0AFD6	nuoI
P0AFE0	nuoJ
P0AFE4	nuoK
P0AFE8	nuoM
P0AFF0	nuoN
P0AFF2	nupC
P0AFF4	nupG
P0AFG8	aceE
P0AFH0	ogt
P0AFH2	oppB
P0AFH6	oppC
P0AFH8	osmY
P0AFI0	oxc
P0AFI5	pbpG
P0AFI9	perM
P0AFJ1	phnA
P0AFJ5	phoB
P0AFJ7	pitA
P0AFK0	pmbA
P0AFK2	pnuC
P0AFK4	potB
P0AFK6	potC
P0AFK9	potD
P0AFL1	potI
P0AFL3	ppiA
P0AFL6	ppx
P0AFL9	pqiA
P0AFM2	proX
P0AFM4	psiF
P0AFM6	pspA
P0AFM9	pspB
P0AFN2	pspC
P0AFN6	yadH
P0AFP0	yadS
P0AFP2	atl
P0AFP4	ybbO
P0AFP6	ybgI
P0AFP9	ybhR
P0AFQ2	ybhS
P0AFQ5	rutC
P0AFQ7	ycfH
P0AFR0	rssA
P0AFR2	dauA
P0AFR4	yciO
P0AFR7	ycjO
P0AFR9	ydcV
P0AFS1	lsrD
P0AFS3	folM
P0AFS5	tqsA
P0AFS7	ydiK
P0AFS9	mepM
P0AFT2	yecS
P0AFT5	btsR
P0AFT8	yeiW
P0AFU0	yejB
P0AFU2	yfbS
P0AFU4	glrR
P0AFU6	yiiF
P0AFV0	yibH
P0AFV2	yhiD
P0AFV4	mepS
P0AFV8	pspD
P0AFW0	rfaH
P0AFW2	rmf
P0AFW4	rnk
P0AFW8	rof
P0AFX0	hpf
P0AFX4	rsd
P0AFX7	rseA
P0AFX9	rseB
P0AFY2	sanA
P0AFY6	sbmA
P0AFY8	seqA
P0AFZ1	sseB
P0AFZ3	sspB
P0AFZ5	sulA
P0AFZ7	trkH
P0AG00	wzzE
P0AG11	umuD
P0AG14	sohB
P0AG16	purF
P0AG18	purE
P0AG20	relA
P0AG24	spoT
P0AG27	yibN
P0AG34	rhtB
P0AG38	rhtC
P0AG71	rmuC
P0AG74	rusA
P0AG76	sbcD
P0AG78	sbp
P0AG80	ugpB
P0AG82	pstS
P0AG84	yghA
P0AG86	secB
P0AG90	secD
P0AG93	secF
P0AG99	secG
P0AGA6	uhpA
P0AGB0	serB
P0AGC0	uhpT
P0AGC3	slt
P0AGC5	mltF
P0AGC7	ytjB
P0AGD1	sodC
P0AGD3	sodB
P0AGE4	sstT
P0AGE6	chrR
P0AGE9	sucD
P0AGF2	csdE
P0AGF4	xylE
P0AGF6	tdcB
P0AGG2	tesB
P0AGG4	trxC
P0AGG8	tldD
P0AGH1	yhhJ
P0AGH3	sapB
P0AGH5	sapC
P0AGH8	pstC
P0AGI1	rbsC
P0AGI4	xylH
P0AGI8	trkA
P0AGJ2	trmH
P0AGJ5	yfiF
P0AGJ7	trmL
P0AGK4	yhbY
P0AGK8	iscR
P0AGL2	tdcF
P0AGL5	ratA
P0AGL7	rsmE
P0AGM0	yhhT
P0AGM2	yicG
P0AGM5	ychA
P0AGM7	uraA
P0AGM9	xanP
P0C037	ppnP
P0C054	ibpA
P0C058	ibpB
P0C066	mltC
P0C077	relE
P0C093	slmA
P0C0K3	srkA
P0C0L2	osmC
P0C0L7	proP
P0C0L9	iscX
P0C0R7	rlmE
P0C0S1	mscS
P0C0T5	mepA
P0C0U4	rimK
P0C0V0	degP
P0C7L2	paaJ
P0C8J6	gatY
P0C8J8	gatZ
P0C8K0	kbaZ
P0C960	emtA
P0CB39	eptC
P0CB62	ymiA
P0CD93	ymjD
P0CE44	uidB
P0CE47	tufA
P0CE48	tufB
P0CE49	insH1
P0CE50	insH2
P0CE51	insH3
P0CE52	insH4
P0CE53	insH6
P0CE54	insH7
P0CE55	insH8
P0CE56	insH9
P0CE57	insH10
P0CE58	insH11
P0CF07	insA1
P0CF08	insA2
P0CF09	insA3
P0CF10	insA4
P0CF11	insA5
P0CF12	insA6
P0CF25	insB1
P0CF26	insB2
P0CF27	insB3
P0CF28	insB5
P0CF29	insB6
P0CF40	insC1
P0CF41	insC2
P0CF42	insC3
P0CF43	insC4
P0CF44	insC5
P0CF45	insC6
P0CF53	insD1
P0CF54	insD2
P0CF55	insD3
P0CF56	insD4
P0CF57	insD5
P0CF58	insD6
P0CF60	insD8
P0CF66	insE1
P0CF67	insE2
P0CF68	insE3
P0CF69	insE4
P0CF70	insE5
P0CF79	insF1
P0CF80	insF2
P0CF81	insF3
P0CF82	insF4
P0CF83	insF5
P0CF86	yfjU
P0CF88	insI1
P0CF89	insI3
P0CF90	insI4
P0CF91	insL1
P0CF92	insL2
P0CF93	insL3
P0CG19	rph
P0CI31	hcaB
P0CK95	yghJ
P0DKB3	mntS
P0DM85	crfC
P0DMC5	rcsC
P0DMC7	rcsB
P0DMC9	rcsA
P0DN74	ytiA
P0DP21	yjiP
P0DP22	yjiQ
P0DP63	ybeH
P0DP64	ybeM
P0DP69	phnE1
P0DP70	phnE
P0DP89	ilvG
P0DPC4	ytiC
P0DPC5	ytiD
P0DPC6	idlP
P0DPC7	rseD
P0DPC8	ymcF
P0DPC9	ynfQ
P0DPD0	ldrA
P0DPD1	ldrC
P10100	rlpA
P10151	leuO
P10346	glnQ
P10371	hisA
P10378	entE
P10384	fadL
P10423	iap
P10442	rnhB
P10805	envY
P10902	nadB
P10903	narK
P10905	ugpA
P10906	ugpE
P10907	ugpC
P10908	ugpQ
P11071	aceK
P11072	lit
P11286	yiaB
P11289	yfiL
P11290	yibD
P11291	b3808
P11349	narH
P11350	narI
P11446	argC
P11447	argH
P11454	entF
P11458	nadA
P11551	fucP
P11553	fucK
P11557	damX
P11663	fumE
P11664	yggC
P11667	argO
P11864	yhaC
P11865	yhaB
P11866	tdcR
P11868	tdcD
P11988	bglB
P11989	bglG
P12008	aroC
P12281	moeA
P12282	moeB
P12295	ung
P12758	udp
P12994	ybhB
P12995	bioA
P12996	bioB
P12998	bioF
P12999	bioC
P13000	bioD1
P13001	bioH
P13009	metH
P13016	ampD
P13024	fdhE
P13029	katG
P13033	glpB
P13035	glpD
P13036	fecA
P13039	fes
P13445	rpoS
P13458	sbcC
P13482	treA
P13518	csrD
P13656	chiA
P13669	mngR
P13738	nhaA
P13857	rimL
P14081	selB
P14175	proV
P14176	proW
P14294	topB
P14375	zraR
P14377	zraS
P14407	fumB
P15005	mcrB
P15006	mcrC
P15028	fecB
P15029	fecD
P15030	fecC
P15031	fecE
P15032	recE
P15033	racC
P15034	pepP
P15038	helD
P15043	recQ
P15047	entA
P15067	glgX
P15070	fliN
P15078	cstA
P15081	gutM
P15082	srlR
P15254	purL
P15286	flk
P15288	pepD
P15373	prlF
P15639	purH
P15640	purD
P15723	dgt
P15770	aroE
P15877	gcd
P15977	malQ
P15993	aroP
P16095	sdaA
P16256	panF
P16384	miaA
P16429	hycC
P16430	hycD
P16431	hycE
P16432	hycF
P16433	hycG
P16456	selD
P16525	tus
P16528	iclR
P16676	cysA
P16677	phnC
P16678	phnK
P16679	phnL
P16681	phnB
P16682	phnD
P16684	phnF
P16685	phnG
P16686	phnH
P16687	phnI
P16688	phnJ
P16689	phnM
P16690	phnN
P16691	phnO
P16692	phnP
P16700	cysP
P16701	cysU
P16703	cysM
P16869	fhuE
P16916	rhsA
P16917	rhsB
P16918	rhsC
P16919	rhsD
P17109	menD
P17115	gutQ
P17117	nfsA
P17315	cirA
P17334	chbC
P17410	chbR
P17411	chbF
P17444	betA
P17445	betB
P17446	betI
P17583	cynX
P17802	mutY
P17846	cysI
P17854	cysH
P17888	priA
P17994	yfaA
P18133	pncB
P18196	minC
P18200	pgpA
P18335	argD
P18390	yjjA
P18392	rstB
P18393	ybdZ
P18775	dmsA
P18776	dmsB
P18777	dmsC
P18811	malI
P18956	ggt
P19317	narW
P19318	narY
P19319	narZ
P19323	fhlA
P19624	pdxA
P19636	eutC
P19642	malX
P19767	insA7
P19768	insJ
P19769	insK
P19925	entD
P19926	agp
P19930	hyaD
P19931	hyaE
P19932	hyaF
P19934	tolA
P20099	bisC
P20605	fic
P20966	fruA
P21151	fadA
P21156	cysD
P21165	pepQ
P21169	speC
P21170	speA
P21177	fadB
P21179	katE
P21189	polB
P21338	rna
P21345	gltP
P21361	yciG
P21362	yciF
P21363	yciE
P21365	yciC
P21367	ycaC
P21369	pncA
P21418	ydfC
P21420	nmpC
P21437	yggF
P21499	rnr
P21503	ycaD
P21507	srmB
P21513	rne
P21514	pdeL
P21515	acpH
P21517	malZ
P21599	pykA
P21693	dbpA
P21829	ybhA
P21865	kdpD
P21866	kdpE
P21893	recJ
P22106	asnB
P22186	mraZ
P22255	cysQ
P22256	gabT
P22259	pckA
P22333	add
P22525	ycbB
P22564	rihC
P22586	fliO
P22729	livM
P22731	livF
P22787	yifB
P23003	trmA
P23173	tnaB
P23200	mglC
P23256	malY
P23305	yigA
P23325	arpA
P23331	tdk
P23367	mutL
P23481	hyfA
P23482	hyfB
P23484	fecI
P23485	fecR
P23522	garL
P23524	garK
P23538	ppsA
P23721	serC
P23827	eco
P23836	phoP
P23837	phoQ
P23839	yicC
P23840	dinD
P23841	xapR
P23842	pdeA
P23843	oppA
P23845	cysN
P23847	dppA
P23849	trkG
P23857	pspE
P23862	priC
P23865	prc
P23869	ppiB
P23872	aes
P23874	hipA
P23876	fepD
P23877	fepG
P23878	fepC
P23883	puuC
P23890	cadC
P23894	htpX
P23895	emrE
P23898	nlpC
P23908	argE
P23909	mutS
P23910	araJ
P23917	mak
P24077	entS
P24169	speF
P24171	dcp
P24173	rfaC
P24174	manC
P24175	manB
P24177	acrD
P24178	yffB
P24180	acrE
P24181	acrF
P24183	fdnG
P24188	yceA
P24192	hypD
P24193	hypE
P24197	ygiD
P24200	mcrA
P24202	mrr
P24203	yjiA
P24205	lpxM
P24207	pheP
P24211	rhsE
P24215	uxuA
P24216	fliD
P24218	intD
P24228	dacB
P24230	recG
P24232	hmp
P24238	yebB
P24240	ascB
P24241	ascF
P24242	ascG
P24244	appX
P24251	crl
P24252	ybgA
P24255	rpoN
P24554	radA
P24555	ptrB
P25396	tehA
P25397	tehB
P25437	frmA
P25516	acnA
P25519	hflX
P25522	mnmE
P25524	codA
P25526	gabD
P25527	gabP
P25531	yicR
P25535	ubiI
P25536	yhdE
P25549	aslA
P25550	aslB
P25552	gppA
P25553	aldA
P25665	metE
P25666	htrL
P25718	malS
P25728	ygbA
P25736	endA
P25737	lysP
P25738	msyB
P25740	rfaG
P25741	rfaP
P25742	rfaQ
P25743	ychE
P25744	mdtG
P25746	hflD
P25747	yeiB
P25748	galS
P25772	ligB
P25798	fliF
P25888	rhlE
P25889	preA
P25894	loiP
P25906	pdxI
P25907	ydbD
P25960	gspO
P26218	bglH
P26266	fepE
P26281	folK
P26365	amiB
P26458	appB
P26459	appC
P26602	ubiC
P26608	fliS
P26612	amyA
P26616	maeA
P26646	acuI
P26648	ftsP
P26649	glgS
P27111	cynR
P27125	rhaT
P27126	rfaS
P27127	rfaB
P27128	rfaI
P27129	rfaJ
P27238	yfeD
P27240	rfaY
P27241	rfaZ
P27242	waaU
P27243	rfaL
P27245	marR
P27247	plsX
P27248	gcvT
P27249	glnD
P27250	ahr
P27253	scpA
P27254	argK
P27278	nadR
P27294	inaA
P27296	dinG
P27297	bax
P27298	prlC
P27303	emrA
P27305	gluQ
P27306	sthA
P27375	htrC
P27431	roxA
P27434	rodZ
P27550	acs
P27828	wecB
P27829	wecC
P27830	rffG
P27832	wecD
P27833	wecE
P27836	wecG
P27837	yifK
P27838	cyaY
P27840	yigE
P27842	yigF
P27843	yigG
P27844	rarD
P27848	yigL
P27859	tatD
P27862	yigZ
P27896	narQ
P28224	mliC
P28246	bcr
P28249	asmA
P28303	dinF
P28304	qorA
P28305	pabC
P28306	mltG
P28307	csgA
P28369	prfH
P28629	adiA
P28634	trmO
P28635	metQ
P28638	yhdJ
P28696	yaaI
P28697	mbiA
P28721	gltF
P28722	yhcA
P28861	fpr
P28903	nrdD
P28904	treC
P28905	holC
P28911	yhhH
P28912	yhhI
P28915	ybfC
P28916	ybfD
P28917	ydcC
P29009	ydfB
P29010	ydfD
P29012	dadX
P29013	ycgB
P29131	ftsN
P29208	menC
P29217	yceH
P29744	flgL
P29745	pepT
P30011	nadC
P30015	lhr
P30125	leuB
P30126	leuD
P30128	greB
P30130	fimD
P30131	hypF
P30136	thiC
P30137	thiE
P30138	thiF
P30139	thiG
P30140	thiH
P30143	yaaJ
P30147	hyi
P30149	yabI
P30176	ybiA
P30177	ybiB
P30178	hcxB
P30192	ychG
P30235	psuK
P30744	sdaB
P30745	moaA
P30748	moaD
P30749	moaE
P30750	metN
P30843	basR
P30844	basS
P30845	eptA
P30847	baeS
P30850	rnb
P30852	smf
P30855	evgS
P30859	artI
P30860	artJ
P30863	dkgB
P30864	yafC
P30866	yafE
P30870	glnE
P30871	ygiF
P30958	mfd
P30979	ybeF
P31057	panB
P31058	yadC
P31060	modF
P31061	nohA
P31062	nohD
P31063	yedD
P31064	yedE
P31068	fliH
P31069	kch
P31119	aas
P31121	marB
P31122	sotB
P31125	eamA
P31126	ydeE
P31129	dgcZ
P31130	ydeI
P31131	ydeJ
P31133	potF
P31134	potG
P31135	potH
P31142	sseA
P31224	acrB
P31433	yicH
P31434	yicI
P31435	yicJ
P31436	setC
P31437	yicL
P31440	adeQ
P31441	ade
P31442	emrD
P31443	yidF
P31446	yidI
P31447	yidJ
P31448	yidK
P31449	yidL
P31450	glvG
P31452	glvC
P31453	yidP
P31455	yidR
P31456	cbrA
P31459	dgoK
P31460	dgoR
P31462	mdtL
P31463	yidZ
P31466	adeP
P31467	yieH
P31468	cbrB
P31469	cbrC
P31470	yieK
P31471	yieL
P31473	ravA
P31474	hsrA
P31475	yieP
P31545	efeB
P31547	metI
P31548	thiQ
P31549	thiP
P31550	thiB
P31551	caiD
P31552	caiC
P31553	caiT
P31572	caiB
P31574	fixB
P31600	nfrA
P31658	hchA
P31660	prpC
P31663	panC
P31665	rpnC
P31666	yadE
P31667	rpnA
P31675	setA
P31677	otsA
P31678	otsB
P31679	yaaU
P31680	djlA
P31697	fimC
P31801	chaA
P31802	narP
P31806	nnr
P31808	yciK
P31825	yfiC
P31826	yddA
P31827	yddB
P31828	pqqL
P31979	nuoF
P31992	pptA
P32051	ydeK
P32053	intA
P32055	fcl
P32056	gmm
P32057	wcaI
P32099	lplA
P32106	yibG
P32108	yibI
P32109	yibJ
P32125	mobB
P32128	yihF
P32129	yihG
P32131	hemN
P32132	typA
P32134	yihM
P32135	yihN
P32136	yihO
P32137	yihP
P32138	yihQ
P32139	yihR
P32140	yihS
P32141	yihT
P32143	yihV
P32144	yihW
P32151	yiiG
P32152	frvR
P32153	frvX
P32154	frvB
P32155	frvA
P32156	rhaM
P32157	yiiM
P32160	yiiQ
P32162	yiiS
P32166	menA
P32167	yiiX
P32169	rhaD
P32170	rhaA
P32171	rhaB
P32173	mobA
P32176	fdoG
P32177	fdhD
P32662	gph
P32664	nudC
P32668	yijF
P32669	fsaB
P32670	ptsA
P32672	frwC
P32674	pflD
P32675	pflC
P32676	frwD
P32677	yijO
P32680	yjaG
P32681	yjaH
P32684	rluF
P32685	yjbD
P32687	yjbF
P32688	yjbG
P32689	yjbH
P32690	yjbI
P32693	yjbL
P32694	yjbM
P32695	dusA
P32696	pspG
P32700	yjcB
P32701	pdeC
P32703	yjcE
P32704	yjcF
P32705	actP
P32709	nrfD
P32710	nrfE
P32711	nrfF
P32712	nrfG
P32714	mdtP
P32715	mdtO
P32716	mdtN
P32717	yjcS
P32718	alsK
P32719	alsE
P32720	alsC
P32721	alsA
P33011	yeeA
P33012	sbmC
P33013	dacD
P33014	yeeD
P33015	yeeE
P33018	yeiG
P33020	yeiI
P33021	nupX
P33022	rihB
P33024	psuT
P33025	psuG
P33026	setB
P33029	yeiQ
P33030	yeiR
P33128	yadV
P33129	htrE
P33135	fliR
P33136	mdoG
P33195	gcvP
P33218	yebE
P33219	yebF
P33221	purT
P33222	yjfC
P33224	aidB
P33225	torA
P33226	torC
P33227	stfE
P33228	recT
P33229	ralR
P33230	rcbA
P33231	lldP
P33232	lldD
P33234	adiY
P33235	flgK
P33236	mokC
P33340	yehA
P33341	yehB
P33342	yehC
P33343	yehD
P33344	yehE
P33345	yehH
P33346	yehI
P33347	yehK
P33348	yehL
P33349	yehM
P33352	yehP
P33353	yehQ
P33354	yehR
P33355	yehS
P33358	mlrA
P33359	yehW
P33360	yehX
P33361	yehY
P33362	yehZ
P33363	bglX
P33366	yohD
P33368	yohF
P33369	mdtQ
P33371	dusC
P33554	ppdA
P33570	tktB
P33590	nikA
P33591	nikB
P33593	nikD
P33594	nikE
P33595	sgrR
P33596	recX
P33599	nuoC
P33602	nuoG
P33607	nuoL
P33634	yfiE
P33644	yfiH
P33647	chpB
P33650	feoB
P33666	ydbA
P33667	selU
P33668	ybbC
P33669	ybbD
P33913	yejA
P33915	yejE
P33916	yejF
P33919	radD
P33920	yejK
P33924	yejO
P33927	ccmF
P33931	ccmA
P33934	napH
P33937	napA
P33940	mqo
P33941	yojI
P33997	alpA
P34209	ydcF
P34749	hofQ
P35340	ahpF
P36547	eutR
P36548	amiA
P36553	hemF
P36554	mdtD
P36560	asr
P36561	cobS
P36562	cobT
P36566	cmoM
P36645	hofB
P36646	hofC
P36647	ppdD
P36649	cueO
P36655	dsbD
P36659	cbpA
P36661	yccE
P36662	torD
P36667	wbbL
P36672	treB
P36673	treR
P36675	arfA
P36677	yhdN
P36678	gspM
P36680	zapD
P36682	yacH
P36683	acnB
P36767	rdgC
P36771	lrhA
P36837	dtpB
P36879	yadG
P36881	yadI
P36928	yegD
P36929	rsmB
P36930	gatR
P36937	kdpF
P36938	pgm
P36943	eaeH
P36979	rlmN
P36995	cspB
P36999	rlmA
P37001	pagP
P37002	crcB
P37003	ybfG
P37005	lasT
P37007	yagA
P37008	yagB
P37009	fbpC
P37013	norR
P37014	yfaD
P37016	yadK
P37017	yadL
P37018	yadM
P37019	clcA
P37024	hrpB
P37025	thpR
P37028	btuF
P37047	cdaR
P37049	yaeI
P37050	yadN
P37051	purU
P37052	ychJ
P37056	yaeF
P37057	ogrK
P37095	pepB
P37127	aegA
P37128	nudK
P37146	nrdF
P37147	fxsA
P37177	ptsP
P37180	hybB
P37182	hybD
P37188	gatB
P37194	slp
P37195	dctR
P37197	yhjA
P37305	hokA
P37306	arcC
P37309	arsR
P37313	dppF
P37325	ybcH
P37326	intS
P37327	yfdC
P37329	modA
P37330	glcB
P37338	csiR
P37339	lhgO
P37340	mdtK
P37342	yjjI
P37344	pspF
P37348	yecE
P37349	dhaM
P37351	rpiB
P37353	menE
P37355	menH
P37387	xylF
P37388	xylG
P37440	ucpA
P37443	ycaI
P37590	pmrD
P37595	iaaA
P37596	norW
P37597	ydhC
P37610	tauD
P37613	panZ
P37614	yhhL
P37615	yhhM
P37617	zntA
P37619	yhhQ
P37621	yhhS
P37623	acpT
P37624	rbbA
P37626	yhiI
P37627	yhiJ
P37629	yhiL
P37630	yhiM
P37631	yhiN
P37634	rlmJ
P37635	yhiS
P37636	mdtE
P37637	mdtF
P37639	gadX
P37640	yhjB
P37641	yhjC
P37642	yhjD
P37643	yhjE
P37645	yhjG
P37646	pdeH
P37647	kdgK
P37648	yhjJ
P37649	pdeK
P37650	bcsC
P37651	bcsZ
P37652	bcsB
P37653	bcsA
P37655	bcsQ
P37657	bcsE
P37659	bcsG
P37660	yhjV
P37661	eptB
P37662	yhjX
P37663	yhjY
P37664	yiaC
P37665	yiaD
P37666	ghrB
P37669	wecH
P37671	yiaJ
P37672	dlgD
P37673	yiaL
P37674	yiaM
P37675	yiaN
P37676	yiaO
P37677	lyx
P37678	sgbH
P37679	sgbU
P37680	sgbE
P37681	yiaT
P37682	yiaU
P37683	yiaV
P37685	aldB
P37686	yiaY
P37689	gpmI
P37690	envC
P37691	yibQ
P37692	rfaF
P37744	rfbA
P37745	rfbC
P37746	rfbX
P37747	glf
P37748	rfc
P37749	wbbI
P37750	wbbJ
P37751	wbbK
P37757	yddE
P37758	narU
P37759	rfbB
P37760	rfbD
P37765	rluB
P37766	ydiF
P37767	yfhH
P37769	kduD
P37772	yjfF
P37773	mpl
P37774	yecC
P37794	chbG
P37902	gltI
P37903	uspF
P37906	puuB
P37908	yfjD
P37909	ybgD
P38035	rtcR
P38036	ygcB
P38038	cysJ
P38051	menF
P38052	sfmF
P38054	cusA
P38055	ydjE
P38097	dgcE
P38101	eamB
P38104	rspA
P38105	rspB
P38134	etk
P38135	fadK
P38392	sieB
P38393	kilR
P38489	nfsB
P38506	ygdG
P38521	yggL
P38683	torT
P38684	torR
P39099	degQ
P39160	uxuB
P39161	uxuR
P39163	chaC
P39165	ychO
P39172	znuA
P39173	yeaD
P39176	erfK
P39177	uspG
P39180	flu
P39187	ytfJ
P39196	lplT
P39199	prmB
P39206	caiE
P39208	idnK
P39212	insN2
P39220	yabP
P39221	yabQ
P39263	yfcC
P39264	fimI
P39265	alsB
P39267	yjcZ
P39270	yjdF
P39274	yjdJ
P39276	dtpC
P39277	yjeH
P39279	yjeJ
P39280	epmB
P39282	yjeM
P39283	yjeN
P39284	yjeO
P39285	mscM
P39288	queG
P39293	yjfK
P39295	yjfM
P39297	bsmA
P39298	yjfP
P39300	ulaG
P39301	ulaA
P39304	ulaD
P39305	ulaE
P39306	ulaF
P39308	yjfZ
P39309	ytfA
P39310	ytfB
P39314	ytfF
P39315	qorB
P39317	ytfI
P39321	tamB
P39325	ytfQ
P39328	ytfT
P39332	yjgH
P39333	bdcA
P39334	bdcR
P39336	yjgL
P39337	yjgM
P39338	yjgN
P39342	yjgR
P39343	idnR
P39344	idnT
P39346	idnD
P39347	intB
P39349	yjgX
P39351	yjgZ
P39352	yjhB
P39353	yjhC
P39354	yjhD
P39355	yjhE
P39356	yjhU
P39357	yjhF
P39358	yjhG
P39359	yjhH
P39360	yjhI
P39361	sgcR
P39362	sgcE
P39363	sgcA
P39364	sgcQ
P39365	sgcC
P39366	sgcX
P39367	yjhP
P39368	yjhQ
P39369	yjhR
P39370	nanS
P39371	nanM
P39374	yjiC
P39375	iraD
P39376	yjiE
P39377	iadA
P39379	yjiH
P39380	kptA
P39381	yjiJ
P39382	yjiK
P39383	yjiL
P39384	yjiM
P39385	yjiN
P39386	mdtM
P39389	yjiR
P39390	yjiS
P39391	yjiT
P39393	yjiV
P39394	symE
P39396	btsT
P39398	lgoT
P39399	lgoR
P39400	lgoD
P39401	mdoB
P39404	bglJ
P39405	fhuF
P39406	rsmC
P39407	yjjU
P39408	yjjV
P39409	yjjW
P39410	yjjJ
P39411	yjjX
P39414	ttdT
P39451	adhP
P39452	nrdE
P39453	torS
P39829	garD
P39830	ybaL
P39831	ydfG
P39832	znuB
P39834	ygiL
P39835	gntT
P39836	yfeH
P39838	rcsD
P39901	ybfI
P39902	sprT
P40120	mdoD
P40191	pdxK
P40710	nlpE
P40711	arfB
P40719	qseC
P40874	solA
P40876	ycbF
P41036	nanT
P41039	ybiI
P41052	mltB
P41407	azoR
P41409	rihA
P41441	gspF
P41442	gspG
P41443	gspH
P42588	patA
P42589	ygjH
P42590	ygjI
P42591	ygjJ
P42592	ygjK
P42593	fadH
P42596	rlmG
P42597	ygjP
P42598	ygjQ
P42599	ygjR
P42601	alx
P42603	ygjV
P42604	uxaA
P42615	mzrA
P42616	yqjC
P42619	yqjF
P42620	yqjG
P42624	yhaK
P42625	yhaL
P42626	yhaM
P42628	dlsT
P42630	tdcG
P42632	tdcE
P42640	yhbX
P42904	agaV
P42905	agaW
P42906	agaA
P42907	agaS
P42909	agaB
P42910	agaC
P42911	agaD
P42912	agaI
P42913	yraH
P42914	yraI
P42915	yraJ
P43319	yraK
P43329	hrpA
P43337	nudL
P43340	ycaK
P43531	ynfM
P43533	flgN
P43667	ygaH
P43671	pqiB
P43672	uup
P43674	ycaL
P43676	pitB
P45394	yrbG
P45395	kdsD
P45420	yhcD
