Chemical	cJMP	Unit	Date	Well	Organism	Media	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-22	D10	5123	EZ	0	FALSE	12	900	0.105	sunrise
none	0		2022-03-22	D11	5144	EZ	0	FALSE	4	900	0.105	sunrise
none	0		2022-03-22	D12	5144	EZ	0	FALSE	12	900	0.109	sunrise
none	0		2022-03-22	E1	0	LB	0	FALSE	5	900	0.106	sunrise
none	0		2022-03-22	E2	0	LB	0	FALSE	13	900	0.084	sunrise
none	0		2022-03-22	E3	5123	LB	0	FALSE	5	900	0.099	sunrise
none	0		2022-03-22	E4	5123	LB	0	FALSE	13	900	0.096	sunrise
none	0		2022-03-22	E5	5144	LB	0	FALSE	5	900	0.101	sunrise
none	0		2022-03-22	E6	5144	LB	0	FALSE	13	900	0.097	sunrise
none	0		2022-03-22	E7	0	EZ	0	FALSE	5	900	0.09	sunrise
none	0		2022-03-22	E8	0	EZ	0	FALSE	13	900	0.087	sunrise
none	0		2022-03-22	E9	5123	EZ	0	FALSE	5	900	0.109	sunrise
none	0		2022-03-22	E10	5123	EZ	0	FALSE	13	900	0.107	sunrise
none	0		2022-03-22	E11	5144	EZ	0	FALSE	5	900	0.102	sunrise
none	0		2022-03-22	E12	5144	EZ	0	FALSE	13	900	0.109	sunrise
none	0		2022-03-22	F1	0	LB	0	FALSE	6	900	0.109	sunrise
none	0		2022-03-22	F2	0	LB	0	FALSE	14	900	0.085	sunrise
none	0		2022-03-22	F3	5123	LB	0	FALSE	6	900	0.098	sunrise
none	0		2022-03-22	F4	5123	LB	0	FALSE	14	900	0.096	sunrise
none	0		2022-03-22	F5	5144	LB	0	FALSE	6	900	0.101	sunrise
none	0		2022-03-22	F6	5144	LB	0	FALSE	14	900	0.099	sunrise
none	0		2022-03-22	F7	0	EZ	0	FALSE	6	900	0.09	sunrise
none	0		2022-03-22	F8	0	EZ	0	FALSE	14	900	0.084	sunrise
none	0		2022-03-22	F9	5123	EZ	0	FALSE	6	900	0.108	sunrise
none	0		2022-03-22	F10	5123	EZ	0	FALSE	14	900	0.108	sunrise
none	0		2022-03-22	F11	5144	EZ	0	FALSE	6	900	0.103	sunrise
none	0		2022-03-22	F12	5144	EZ	0	FALSE	14	900	0.106	sunrise
none	0		2022-03-22	G1	0	LB	0	FALSE	7	900	0.085	sunrise
none	0		2022-03-22	G2	0	LB	0	FALSE	15	900	0.085	sunrise
none	0		2022-03-22	G3	5123	LB	0	FALSE	7	900	0.099	sunrise
none	0		2022-03-22	G4	5123	LB	0	FALSE	15	900	0.097	sunrise
none	0		2022-03-22	G5	5144	LB	0	FALSE	7	900	0.107	sunrise
none	0		2022-03-22	G6	5144	LB	0	FALSE	15	900	0.102	sunrise
none	0		2022-03-22	G7	0	EZ	0	FALSE	7	900	0.092	sunrise
none	0		2022-03-22	G8	0	EZ	0	FALSE	15	900	0.087	sunrise
none	0		2022-03-22	G9	5123	EZ	0	FALSE	7	900	0.107	sunrise
none	0		2022-03-22	G10	5123	EZ	0	FALSE	15	900	0.107	sunrise
none	0		2022-03-22	G11	5144	EZ	0	FALSE	7	900	0.101	sunrise
none	0		2022-03-22	G12	5144	EZ	0	FALSE	15	900	0.105	sunrise
none	0		2022-03-22	H1	0	LB	0	FALSE	8	900	0.083	sunrise
none	0		2022-03-22	H2	0	LB	0	FALSE	16	900	0.084	sunrise
none	0		2022-03-22	H3	5123	LB	0	FALSE	8	900	0.111	sunrise
none	0		2022-03-22	H4	5123	LB	0	FALSE	16	900	0.144	sunrise
none	0		2022-03-22	H5	5144	LB	0	FALSE	8	900	0.104	sunrise
none	0		2022-03-22	H6	5144	LB	0	FALSE	16	900	0.101	sunrise
none	0		2022-03-22	H7	0	EZ	0	FALSE	8	900	0.096	sunrise
none	0		2022-03-22	H8	0	EZ	0	FALSE	16	900	0.087	sunrise
none	0		2022-03-22	H9	5123	EZ	0	FALSE	8	900	0.116	sunrise
none	0		2022-03-22	H10	5123	EZ	0	FALSE	16	900	0.113	sunrise
none	0		2022-03-22	H11	5144	EZ	0	FALSE	8	900	0.116	sunrise
none	0		2022-03-22	H12	5144	EZ	0	FALSE	16	900	0.12	sunrise
none	0		2022-03-22	A1	0	LB	0	FALSE	1	1800	0.082	sunrise
none	0		2022-03-22	A2	0	LB	0	FALSE	9	1800	0.082	sunrise
none	0		2022-03-22	A3	5123	LB	0	FALSE	1	1800	0.112	sunrise
none	0		2022-03-22	A4	5123	LB	0	FALSE	9	1800	0.134	sunrise
none	0		2022-03-22	A5	5144	LB	0	FALSE	1	1800	0.1	sunrise
none	0		2022-03-22	A6	5144	LB	0	FALSE	9	1800	0.098	sunrise
none	0		2022-03-22	A7	0	EZ	0	FALSE	1	1800	0.087	sunrise
none	0		2022-03-22	A8	0	EZ	0	FALSE	9	1800	0.092	sunrise
none	0		2022-03-22	A9	5123	EZ	0	FALSE	1	1800	0.111	sunrise
none	0		2022-03-22	A10	5123	EZ	0	FALSE	9	1800	0.111	sunrise
none	0		2022-03-22	A11	5144	EZ	0	FALSE	1	1800	0.109	sunrise
none	0		2022-03-22	A12	5144	EZ	0	FALSE	9	1800	0.119	sunrise
none	0		2022-03-22	B1	0	LB	0	FALSE	2	1800	0.085	sunrise
none	0		2022-03-22	B2	0	LB	0	FALSE	10	1800	0.083	sunrise
none	0		2022-03-22	B3	5123	LB	0	FALSE	2	1800	0.098	sunrise
none	0		2022-03-22	B4	5123	LB	0	FALSE	10	1800	0.098	sunrise
none	0		2022-03-22	B5	5144	LB	0	FALSE	2	1800	0.101	sunrise
none	0		2022-03-22	B6	5144	LB	0	FALSE	10	1800	0.098	sunrise
none	0		2022-03-22	B7	0	EZ	0	FALSE	2	1800	0.094	sunrise
none	0		2022-03-22	B8	0	EZ	0	FALSE	10	1800	0.093	sunrise
none	0		2022-03-22	B9	5123	EZ	0	FALSE	2	1800	0.105	sunrise
none	0		2022-03-22	B10	5123	EZ	0	FALSE	10	1800	0.11	sunrise
none	0		2022-03-22	B11	5144	EZ	0	FALSE	2	1800	0.107	sunrise
none	0		2022-03-22	B12	5144	EZ	0	FALSE	10	1800	0.113	sunrise
none	0		2022-03-22	C1	0	LB	0	FALSE	3	1800	0.083	sunrise
none	0		2022-03-22	C2	0	LB	0	FALSE	11	1800	0.085	sunrise
none	0		2022-03-22	C3	5123	LB	0	FALSE	3	1800	0.098	sunrise
none	0		2022-03-22	C4	5123	LB	0	FALSE	11	1800	0.097	sunrise
none	0		2022-03-22	C5	5144	LB	0	FALSE	3	1800	0.1	sunrise
